,PC1,PC2,PC3,PC4,PC5,PC6
Denmark,4.315839222288609,-0.17091764800215123,0.1286675651571913,0.15629376855209198,1.2156088045315898,-0.10538263504589543
New Zealand,3.9531550077364215,-0.1989592243044142,0.3273971180548144,-0.17848878035081994,0.4722985799750936,-0.21874507164373264
Finland,4.070322033310003,-0.07388494841071103,0.27121092411006975,-0.03904523935671186,0.687482612195953,-0.22066805652739513
Singapore,2.4902633643711227,-0.9826006861408768,-0.29650093975762726,0.5223024611901976,0.4383144521423312,1.8666489604639194
Sweden,4.268781038707062,0.08435467243317041,-0.17318734385353218,0.196865010934008,0.8477508741048211,-0.3846636313815413
Switzerland,4.453976286367407,-0.08194662205679437,-0.21180024269793063,-0.057962769168532643,1.2065208395085387,1.2785382453245735
Norway,4.597503430647879,-0.12592585074352364,0.1494496436021202,0.035038556198612465,1.0431280505212053,0.09130727650939868
Netherlands,3.843371516827911,0.22657017499245605,-0.46166808826199673,-0.09728340977136958,0.6280457130270508,0.0108099844226196
Germany,3.29251054289862,0.8157160008461921,-1.3220596752624574,-0.22106319373324684,0.4612723270400487,-0.037555690443361905
Luxembourg,4.9687005753072,-1.163370636675415,1.221307783782724,0.04075451649482964,2.0540593122189983,2.058833056128415
Australia,3.719770575340756,0.381637292071389,-0.7013201105157056,0.04514336608521459,0.4898774139260541,0.04459707379880301
Canada,3.324187649054726,0.6975548322356211,-0.7448781952828252,-0.29722948597817783,0.17426150684315045,-0.09713129701951217
United Kingdom,3.2785047584205307,0.7020287544575103,-1.2187752232601892,0.08326751734889533,0.5412807203388721,-0.5171571864707493
Austria,3.0453025571287373,-0.08602977861224109,-0.010803599535032515,-0.2980157536347252,0.19647096185370716,0.48281720147233387
Belgium,3.182407291515716,-0.04246571444311109,-0.2032243721365821,0.26531900736082814,0.4440219608659052,-0.16306623581781546
Estonia,3.013825512189112,-0.8331340089745194,1.1497006508697638,0.47264613463551003,0.44444455860220344,-1.272816036275137
Japan,3.2668416168905274,0.8077593173128409,-1.6921356378478385,0.2149437001765449,0.2879881403584169,-0.5883197130504673
Ireland,4.08443617256553,-0.1976332574547474,0.23522310894536752,-0.3111658471104656,0.9157335382933759,1.5000745552912123
Uruguay,2.246830635194044,0.6306856968425055,1.4330272948069074,0.015133185270609278,0.16158085958983656,-0.85495019223705
France,2.9265043237721584,0.580252240001942,-1.235245865592677,0.1976894166063033,0.34565658700523316,-0.439182134685811
Chile,1.768362307289196,0.576083181240102,0.014424502336195771,-0.7060678667210134,-0.6681208758155741,-0.20303558506559044
