,PC1,PC2,PC3,PC4,PC5,PC6
Albania,0.4923085758279738,-0.9347225009836683,0.6915650706519219,0.5687500930515167,-0.6960356609956571,-0.7933051733251526
Algeria,-1.4572950437765069,-0.47817066271852243,-1.0349092285200394,0.25054373549198705,-0.8855098052052254,0.6243603325072271
Thailand,-0.9696267653847606,0.1163242120611141,-1.1693551130981281,-0.05134381836173614,-0.9706240641226794,0.7126941560523639
Vietnam,-1.0537979168965943,-0.5469915024020857,-1.820605761536214,1.6918595784938228,0.5178224001786094,-0.9876529510369203
Bosnia and Herzegovina,-0.3347771623893002,-1.1964389580284913,0.5226668698294601,0.3040548795677268,-0.8477382338750925,0.0737194464783015
North Macedonia,0.0516349573946715,-1.1097243748872718,0.9662069106828381,-0.1466562169366286,-0.7467750475919458,-0.16836715925347542
Panama,0.4219826430478067,0.24210502950721557,1.1778586076942783,-0.30176870751550855,-1.1623344958661037,0.2950518178464972
Moldova,-0.46209922849403906,-0.6503481969471681,0.804141634483174,-0.036390729469395575,-0.37665106279395116,-0.423193512739514
Philippines,-1.2144071266612169,0.9500122836064815,-0.8039678861080191,-0.7204191733267351,-0.5415020647382687,0.10391546704439103
Egypt,-2.2644920138234848,-0.2641626478660446,-1.464647931297772,0.32253657309534195,-0.2997815781323072,0.6886426632450872
Nepal,-1.5793696161580437,-0.14710906164299653,-0.28083041575731527,-0.8488777508454977,-0.23905730410548198,-0.08071284070333881
Ukraine,-0.35728390435184265,0.38867753277872363,-0.5603006334345905,0.5858357660425279,-0.026595814199226596,-1.1095526411300778
Zambia,-2.141882853307697,-0.1043943633433325,0.279411076569111,-0.8758792900998219,0.3488375986587553,-0.1305446626041611
Niger,-3.1630315632507755,-0.3583583711403642,0.1310504013402379,-1.1881006427433247,0.915229726918636,-0.0909356630393402
Bolivia,-1.1046136828830249,-0.0782863941498988,0.4300645965171583,-0.34016122737030124,-0.5447509572430402,-0.039721682103995376
Kenya,-2.0884781248264135,0.24480611316259474,-0.4586986209511113,-0.7420272605545771,0.11244738862520243,-0.060989984535799346
Kyrgyzstan,-1.5370026321809767,-1.155683580036433,0.15300179717709583,0.5809618005091692,-0.21038995661342266,-0.19415457657409316
Mexico,-0.9365630933432001,2.9368127734472074,0.21397603007679789,1.164901691279632,-0.3454482987390971,0.1544165088996298
Pakistan,-2.594349947705549,0.4856519432430687,-1.4292986361215314,-0.6040491068897899,0.2865777868339283,-0.06583414387691766
Azerbaijan,-1.295521864772277,-1.4316706966144341,-0.5197236191606819,1.9629707146580162,0.3026724964841089,-0.6142304047573404
Malawi,-2.0073262724667664,-0.17368683545812016,0.26506130191486504,-1.75527454641539,0.40876133041824203,-0.33839583993034433
Russia,-1.0839377205414806,0.3025439743235566,-1.6657913445766652,2.1140160213733217,0.41654290647719283,-0.6514002813771436
Dominican Republic,-0.6001387653779784,0.4025928692277701,0.6617853403137263,-0.15165218984142903,-0.7458493680703642,0.1124427051812002
Liberia,-2.1415457664540654,-0.6755373967068969,1.034473225435572,-1.3044788853322598,0.41867152398910257,-0.3642154068178942
Paraguay,-0.729447966219924,-0.04675742644973141,0.7508269967890313,-0.37839166445400235,-0.8481274561510297,0.1562924016139156
Angola,-2.783785051490785,-0.2927197432717034,-0.2748658379685772,-0.3174682055297879,0.7748369779081855,-0.14193076840204774
Uganda,-2.7501413711663116,0.5437588884923482,-0.043390319059987026,-0.42150402119017405,0.5477563269570074,-0.02897561071312904
Cameroon,-3.3543187228512887,-0.9047742893737423,-0.43097346759836846,-0.33535087498245125,0.864891158276857,0.1257811636128004
Bangladesh,-1.8618778534764953,0.5033933991858799,-1.386691405055449,-0.7506951260322542,-0.5761558511074069,0.239279564849866
Mozambique,-3.0294088445281853,-0.36894408959309366,-0.15672154157714546,-0.7888236767240268,1.008630784732611,-0.4784055881850068
Guatemala,-1.6856081721078142,1.3757742862689009,0.9984305151519041,0.7188549055389719,-0.44966253494243646,0.3994024716191579
Iran,-1.6774092350424679,-0.5414808393181797,-1.6654391000479478,1.3981543589232166,-0.39920862369536864,0.4958903445873244
Tajikistan,-2.534878249485086,-1.5261252122982207,-0.2814247696080531,0.9169385834773436,-0.15028009672038328,0.4091942243095692
Central African Republic,-4.6690435061648,-0.1591537381995618,1.7232760700468486,0.5014948487203938,1.90756026638937,0.25163223994321576
Nigeria,-3.862484174000798,3.2880712428283108,0.7254898995212049,0.28289771314874257,1.4328767771270448,0.10305390798901182
Iraq,-2.228307001280976,0.1995320028648178,-0.37030566553579214,0.6603607545709261,-0.10264609516288736,0.24691979555220964
Cambodia,-2.6148171835134373,-0.9695256918235774,-0.30265779766096423,0.005291551418590802,-0.1431303040879104,0.37225293569950046
Zimbabwe,-3.0285733605017877,-0.45107341940832135,0.28321321803054667,0.026604460953963974,0.7030238317771502,-0.05488510424454446
Haiti,-2.737260714920589,-0.4277542190197826,0.48489486307441765,-0.29693707860966767,0.5539757213898798,-0.27764974296854317
Nicaragua,-1.7529499939584459,-0.7970951271093107,0.37531559116814617,1.0175837879683238,-0.3470506861296111,-0.094798347336288
Sudan,-3.419729027670151,-0.44952772421718257,-0.6014057703130377,0.05130234147410757,0.5200187879200036,0.2082634646666392
Burundi,-3.9219283525343096,-0.9538483673687876,0.3420839730168754,-0.11643181227703503,0.8740188039143045,0.24496380955352454
Turkmenistan,-2.636467696225248,-1.548443088924387,0.06416816212887244,1.367045423703131,0.1262440891553523,0.4957606666264106
Yemen,-3.827407526067557,-0.576259441368497,-0.3227862823007187,0.1986780045344099,0.44458391933586183,0.4632597903643453
Venezuela,-2.954774567117715,2.1840166996714334,1.1412982432321734,2.6930294732545743,-0.07173360117853533,0.7916201165027897
