country,corruption,democracy,freedom,GDP_UN,HDI,homicide,life_expectancy,religion_important,log_pop
Denmark,2.1793030191806255,1.542164858588525,1.2277425460806701,2.06230430408983,1.2395622171826595,-0.5376105923423059,0.9340989308107711,-2.0371918604024977,-0.7130712775791338
New Zealand,2.1793030191806255,1.5894975117162928,1.2973536387586009,1.2604069817640777,1.1796062210409897,-0.573944322566397,1.1297489385616817,-1.4784474909231717,-0.8444563414573228
Finland,2.1793030191806255,1.5658311851524085,1.332159185097566,1.4763077004228193,1.2262386624845105,-0.4649431318941234,1.0738489363471366,-1.6779990514515024,-0.7427297098250023
Singapore,2.0247457548496146,0.06538608100216473,-0.47772922452863015,1.9082465665873163,1.2262386624845105,-0.6345005396065492,1.3114239457589565,-0.0017659430135250087,-0.7091501704564753
Sweden,2.0247457548496146,1.5942307770290696,1.332159185097566,1.7003167210553773,1.272871103928032,-0.5254993489342754,1.1996239413298644,-2.11701248461383,-0.32627751789512394
Switzerland,1.973226666739278,1.3907003685796675,1.1929369997417048,3.2277925459985295,1.3394888774187772,-0.5860555659744275,1.33937394686623,-1.1591649940778428,-0.4349694714827661
Norway,2.0247457548496146,1.8545603692317936,1.332159185097566,2.309401371020713,1.3528124321169264,-0.5981668093824579,1.1437239391153193,-1.9174609240854994,-0.7623775587939405
Netherlands,1.870188490518604,1.4522328176457662,1.2625480924196355,1.689276603678599,1.2662093265789576,-0.5860555659744275,1.1297489385616817,-1.4784474909231717,0.046165788298091384
Germany,1.76715031429793,1.3149681235752386,1.1233259070637742,1.3491402073193468,1.2861946586261812,-0.5497218357503363,0.989998933025316,-1.1990753061835089,1.1551458566071835
Luxembourg,1.818669402408267,1.3197013888880154,1.2277425460806701,4.614128945058469,1.079679560804872,-0.6223892961985188,1.1297489385616817,-1.238985618289175,-2.277773483057503
Australia,1.4065166975255712,1.4522328176457662,1.2277425460806701,1.8032967370844144,1.2662093265789576,-0.5497218357503363,1.283473944651685,-1.518357803028838,0.31748551953974635
Canada,1.458035785635908,1.584764246403516,1.2625480924196355,1.2415334201075106,1.1662826663428407,-0.4407206450780626,1.1437239391153193,-1.1192546819721767,0.5936538942638048
United Kingdom,1.664112138077256,1.25343567450914,1.0885203607248088,1.1113424923697335,1.1862679983900641,-0.513388105526245,0.989998933025316,-1.7179093635571685,1.0065890398168016
Austria,1.458035785635908,1.0735715926236222,1.0885203607248088,1.4497839329491484,1.119650224899319,-0.5376105923423059,1.0179489341325896,-0.6004206245985166,-0.4059778703308121
Belgium,1.4065166975255712,0.7659093472931303,1.1929369997417048,1.3087819359129493,1.1796062210409897,-0.45283188848609296,1.0319239346862255,-1.4784474909231717,-0.22871222948924022
Estonia,1.458035785635908,0.9221071026147646,1.1233259070637742,0.3045435411671546,0.8531791309363385,-0.4043869148539713,0.6406239191844022,-2.156922796719496,-1.7416158855030528
Japan,1.4065166975255712,1.059371796685292,1.1929369997417048,1.0779930921610419,1.0996648928520956,-0.6223892961985188,1.4511739512953221,-1.8376402998741672,1.4474235070210575
Ireland,1.458035785635908,1.4948322054607572,1.2277425460806701,3.1971917227301145,1.3394888774187772,-0.5497218357503363,1.1297489385616817,-0.6403309367041828,-0.8300707822800393
Uruguay,1.4065166975255712,1.2865685316985775,1.2625480924196355,-0.046724591800218526,0.42016360324649504,0.8067374259490698,0.5148489142016743,-1.1591649940778428,-1.0705057434863037
France,1.3034785213048972,0.9931060823064167,0.9841037217079129,1.0307633784039525,0.9797529005687542,-0.513388105526245,1.1856489407762287,-1.5981784272401702,0.9812837391384192
Chile,1.0974021688635494,1.1303707763769433,1.0885203607248088,-0.14778060397106166,0.6466640331150285,-0.1258283164692718,0.8362739269353148,-0.0017659430135250087,0.11818079961159066
United States,1.0974021688635494,0.9599732251169789,0.7404648973351557,2.1377069314847565,1.146297334295617,-0.05316085602108939,0.6825489208453115,-0.04167625511919118,2.11384945098815
Spain,0.7882876402015275,1.0546385313725146,0.9841037217079129,0.5016623174006714,0.9997382326159778,-0.5860555659744275,1.2974489452053208,-0.8398824972325137,0.7492646709032018
South Korea,0.8398067283118644,1.00257261293197,0.7404648973351557,0.7095463533169388,1.079679560804872,-0.5860555659744275,1.227573942437138,-1.0793443698665106,0.8133801198853698
Portugal,0.8398067283118644,0.9505066944914256,1.1929369997417048,0.2727974775069577,0.640002255765954,-0.5618330791583667,1.1017989374544082,0.07805468119780734,-0.3131783123370442
Israel,0.6852494639808535,0.9221071026147646,0.4968260729623986,1.4006760249495365,1.0996648928520956,-0.47705437530215383,1.227573942437138,-0.7600618730211813,-0.44085256850613563
Lithuania,0.7882876402015275,0.586045265407612,0.9841037217079129,0.19762389819038764,0.8531791309363385,-0.10160582965321108,0.2353489031289432,-1.1192546819721767,-1.228989251647979
Slovenia,0.5822112877601796,0.7801091432314607,1.1581314534027396,0.4269010246251428,1.0863413381539464,-0.5981668093824579,0.989998933025316,-0.919703121443846,-1.4271162475520336
